Study,effectsizeID,Author,Date,cohen.d,hedge,hedgeg.correction,Vd,Sampling.variance,SE,Frequency,Hemisphere,Control.comparison,Cortical.region,Memorystage,Retrieval,Simulation.timing,Intensity,MTI,notes
27,163,Yazar ,2014,0.1849,0.184900065,0.982857143,0.08697,0.084360177,0.290448235,ctbs,L,a,PC,ret,fam,off,below,70,left ang vs IPS d'
27,164,Yazar ,2014,0.0357,0.035708593,0.982857143,0.08697,0.084014581,0.289852688,ctbs,L,v,PC,ret,fam,off,below,70,left IPS vs vert d'
27,165,Yazar ,2014,-0.2945,-0.29448407,0.982857143,0.087899,0.084911879,0.291396429,ctbs,L,v,PC,ret,rec,off,below,70,left ang vs vert for source
27,166,Yazar ,2014,-0.1378,-0.137849103,0.982857143,0.087163,0.084200584,0.290173369,ctbs,L,a,PC,ret,rec,off,below,70,left ang vs IPS source
27,167,Yazar ,2014,-0.1534,-0.153392998,0.982857143,0.087212,0.084248283,0.290255548,ctbs,L,v,PC,ret,rec,off,below,70,left IPS vs vert source
28,168,Bonni ,2015,-1.643335049,-1.643308843,0.957746479,0.258446,0.245386369,0.495364885,ctbs,,v,PC,ret,rec,off,at,100,PC vs vert (CZ) hits
28,169,Bonni ,2015,-1.788795518,-1.788818722,0.957746479,0.266765,0.256834988,0.506788899,ctbs,,a,PC,ret,rec,off,at,100,PC vs PPC hits
28,170,Bonni ,2015,0,0,0.957746479,0.2,0.183457013,0.428318821,ctbs,L,v,PC,ret,rec,off,at,100,PPC vs vert hits
28,171,Bonni ,2015,0.043133583,0.043133583,0.957746479,0.200046513,0.183499678,0.428368624,ctbs,,v,PC,ret,fam,off,at,100,PC vs vert (CZ) source errors
28,172,Bonni ,2015,-0.353882156,-0.353881905,0.957746479,0.203130815,0.186328862,0.43165827,ctbs,,a,PC,ret,fam,off,at,100,PC vs PPC source errors
28,173,Bonni ,2015,0.402151514,0.402151229,0.957746479,0.204043146,0.18716573,0.432626548,ctbs,L,v,PC,ret,fam,off,at,100,PPC vs vert source errors
29,174,Nilakantan ,2017,1.409930937,1.374386459,0.974789916,0.127494,0.193979451,0.440430983,twenty,L,v,PC,,rec,off,at,100,PPC vs sham
30,175,Rossi ,2011,0.899224806,0.874921433,0.972972973,0.146803,0.138980797,0.372801283,twenty,L,s,PFC,enc,fam,on,below,90,LDLPFC vs sham 100 delay d'
30,176,Rossi ,2011,0.909090909,0.884520885,0.972972973,0.147105,0.13926229,0.37317863,twenty,L,s,PFC,enc,fam,on,below,90,LDLPFC vs sham 200 delay d'
30,177,Rossi ,2011,0.22818792,0.222020678,0.972972973,0.1342,0.127044298,0.356432739,twenty,L,s,PFC,enc,fam,on,below,90,LDLPFC vs sham 300 delay d'
30,178,Rossi ,2011,0.2875,0.27972973,0.972972973,0.134711,0.127526887,0.357109069,twenty,L,s,PFC,enc,fam,on,below,90,LDLPFC vs sham 400 delay d'
30,179,Rossi ,2011,-0.986111111,-0.95945946,0.972972973,0.149537,0.141565363,0.376251729,twenty,L,s,PFC,enc,fam,on,below,90,LDLPFC vs sham 500 delay d'
31,180,Rossi ,2011,0.411214953,0.398229218,0.968421053,0.157098,0.147332395,0.383839022,twenty,R,v,PFC,enc,fam,on,below,90,RDLPFC vs vertex 100 d'
31,181,Rossi ,2011,-0.125874126,-0.121899154,0.968421053,0.154151,0.144568418,0.380221538,twenty,R,v,PFC,enc,fam,on,below,90,RDLPFC vs vertex 300 d'
